id	text	label
103	BEIRUT, Lebanon  —   The   buses once ferried Syrians to school, work and dates at Damascus cafes. Now they pull up at moments of defeat, when rebel fighters and civilians, besieged and bombarded, give up their territory to government forces and board the vehicles en route to an uncertain future. The buses, once a benign, even beloved feature of the urban landscape, have become a signature of the Syrian government’s    strategy. In recent days, government warplanes dropped fliers on the   districts of Aleppo, offering a stark choice to the estimated 250, 000 people trapped in that strategic city: “doom,” represented by a photo of a bloody body, or “redemption,” in the form of a green bus. Images of the buses are everywhere: on state television reports and   websites celebrating the evacuations, and on opposition videos mourning what they call deportations. Women and children, or fighters with guns, peer from their windows. They cry, chant defiantly or stare into space as they leave areas that have long symbolized revolt against President Bashar   like the recently emptied Damascus suburb of Daraya. Riders are usually offered a choice between two destinations, but as with so many aspects of the bloody and chaotic Syrian civil war, both options are bad. They can take the green buses to government territory, where many fear arrest and conscription, or to another   area, where they face continued government airstrikes  —   like the ones that hit a school Wednesday and killed 22 children in Idlib Province. “Damn the green buses, I’m seeing them in my dreams,” said Jalal   36, a computer technician whose neighbors in Waer, a besieged district on the outskirts of the central city of Homs, recently debated whether to board the buses in the latest evacuation offer. Mr. Telawi was experiencing a certain déjà vu. Two years ago, he took a green bus with fellow fighters out of the Old City of Homs in a deal with the government, only to face another siege in Waer. “We have a phobia  —   a ‘bus complex,’” he said. “In our minds, they equal displacement. ” The   buses first arrived in Syrian cities with much fanfare in 2009. Back then, they were a symbol of the modernization promised by Mr. Assad. At one point painted red and plastered with the logo of a cellphone company owned by a cousin of the president, they replaced rickety repurposed school buses and supplemented the small white vans known as “servis,” providing improved, affordable public transportation for students and workers. Osama Mohammad Ali, now an antigovernment activist trapped in Waer, speaks wistfully of riding the bus to law school in Homs on rainy days alongside people from every sect and walk of life. “The driver used to play Fairuz”  —   the Lebanese singer and diva  —   “and there was a kind of respect among us,” he said. “If I saw an elderly man standing, I would give him or her my seat. ” But when demonstrations demanding political reform broke out in 2011, the buses were used to transport   state security officers or   militiamen through Damascus traffic to beat up and arrest protesters. As the uprising turned to armed conflict, clashes left   buses rusting in the streets. The steel carcasses sometimes served as barriers between government and rebel territory. Then, in a 2014 deal supervised by United Nations officials, the green buses evacuated the last rebels from the Old City district of Homs as the government took over the area. “We were all crying, ‘Is this the end of Homs men? ’” Mr. Telawi, the technician, recalled recently. “We thought we would be liberating Homs, but instead our end will be in the green bus. ” The buses have since been used again and again in the local surrender deals that the government has promoted in place of a national peace agreement. The Syrian government and its ally Russia portray the evacuations as an act of mercy, freeing people they contend are being used as human shields. Opponents of the government increasingly see the process as “ethnic cleansing,” as it has primarily displaced members of the Sunni majority. The United Nations has condemned the evacuations as a “forced displacement” of civilians, calling for residents to be allowed to “return voluntarily, in safety and in dignity. ” But as the stretched Syrian Army continues to expel civilians from    areas, the United Nations and other agencies operating in the country risk being implicated in “a dangerous precedent,” Aron Lund, an analyst at the Carnegie Middle East Center, wrote recently. Armed groups, he continued, can “target and deport civilians with impunity in Syria, and perhaps elsewhere. ” When   towns refuse the deals, bombardments intensify and sieges tighten. In August, south of Damascus, the last 1, 500 people in Daraya capitulated after an incendiary bombing of their last hospital. Some went to   suburbs, others to   Idlib Province. Abu Adnan, 50, was one of the bus drivers. He took 20 fighters and their families to Idlib, where many of them had never been before. They wept as they crossed the checkpoint on their way out of Daraya. “Even I started tearing up  —   the crying of men is so hard,” he recalled in an interview, asking to be identified only by his nickname to avoid repercussions for expressing sympathy. “I saw a gunman put some soil from Daraya in a plastic bag and smell it as if it was soil from paradise. ” The   drive took 30 hours, he said, with the bus stopping at many checkpoints. At some, the rebel passengers threatened to shoot if security forces clambered aboard. At others, the security men cheered for Mr. Assad while the passengers cheered for Daraya and revolution. In September came evacuations from Waer, with hundreds departing for   territory farther north. Mr. Ali, the law student, chose to remain under the blockade. “I can’t stand to see these buses now,” he said, but he noted that some people saw them as a means of rescue, to “take them from hell to start a new life,” perhaps fleeing to Turkey. Next, buses  —   white this time  —   took rebels and some civilians from the Damascus suburb of Qudsaya, where remaining residents chanted their support for the government as security officials welcomed the town “back into the lap of the country. ” And on Oct. 19, rebels and activists boarded green buses bound for Idlib from the Damascus suburb of Moadhamiyeh, where chemical attacks killed hundreds in 2013. Among them was a doctor named Muhannad, who helped collect evidence for the United Nations investigation into those attacks and who spoke on the condition that he be identified by only his first name, for safety. He, his wife and their son were hoping to smuggle themselves to Austria, where the doctor once worked. Staying home was not an option: He was wanted by 16 security branches, on charges of treating wounded fighters. “I’m inside Bus No. ” he said by phone. Asked about the atmosphere, he said, “One word: crying. ” More than 2, 600 people died in Moadhamiyeh during the war, he said. “We will never have the chance to read the Fatiha over our people,” he added, referring to a prayer of mourning. The green buses were also offered  —   or offered as a threat  —   on Oct. 21 to people in the besieged   eastern sections of Aleppo, the ancient city split since 2012 between government and rebel territory. After the government encircled the rebel side over the summer, a   reporter, Shadi Helweh, taunted the rebels on state television. “I swear to God, the green buses will be here,” he said. “We will take selfies with those mercenaries while they leave like rats. ” People in eastern Aleppo have much to flee: government and Russian airstrikes on hospitals, apartment buildings and schools dwindling supplies of food. But the green buses idled. Virtually no one came out, though Russia had declared a unilateral halt to airstrikes and promoted evacuations. The government and Russia accused rebels of blocking civilians from leaving. Rebels said no one should be evacuated unless humanitarian aid was also allowed in  —   and told residents that it was not safe to take the buses without international supervision. The United Nations called for a more comprehensive humanitarian pause  —   with aid deliveries and medical evacuations  —   but that did not come to pass. It is hard to know how many residents of Aleppo and other trouble spots would leave if they had reliable safety guarantees. Many, including older residents, say they just want to stay in their homes. Mr. Telawi, the technician who rode the green bus out of Homs in 2014 but refused to board again in Waer this year, remembered that when one of his friends had gotten on the bus, he had taken out an old ticket, stamped it with the   machine as if for a normal ride, and kept it. “He said he’ll use it again,” Mr. Telawi recalled. “On the way back. ”	0
499	License DMCA Will Trump pull a Brexit times 10? What would it take, beyond WikiLeaks, to bring the Clinton (cash) machine down? Will Hillary win and then declare WWIII against her Russia/Iran/Syria axis of evil ? Will the Middle East totally explode? Will the pivot to Asia totally implode? Will China be ruling the world by 2025? Amidst so many frenetic fragments of geopolitical reality precariously shored against our ruins, the temptation is irresistible to hark back to the late, great, deconstructionist master Jean Baudrillard. During the post-mod 1980s it was hip to be Baudrillardian to the core; his America, originally published in France in 1986, should still be read today as the definitive metaphysical/geological/cultural Instagram of Exceptionalistan. By the late 1990s, at the end of the millennium, two years before 9/11 -- that seminal before and after event -- Baudrillard was already stressing how we live in a black market maze. Now, it's a black market paroxysm. Global multitudes are subjected to a black market of work -- as in the deregulation of the official market; a black market of unemployment; a black market of financial speculation; a black market of misery and poverty; a black market of sex (as in prostitution); a black market of information (as in espionage and shadow wars); a black market of weapons; and even a black market of thinking. Way beyond the late 20th century, in the 2010s what the West praises as liberal democracy -- actually a neoliberal diktat -- has virtually absorbed every ideological divergence, while leaving behind a heap of differences floating in some sort of trompe l'oeil effect. What's left is a widespread, noxious condition; the pre-emptive prohibition of any critical thought, which has no way to express itself other than becoming clandestine (or finding the right internet niche). - Advertisement - Baudrillard already knew that the concept of alter -- killed by conviviality -- does not exist in the official market. So an alter black market also sprung up, co-opted by traffickers; that's, for instance, the realm of racism, nativism and other forms of exclusion. Baudrillard already identified how a contraband alter , expressed by sects and every form of nationalism (nowadays, think about the spectrum between jihadism and extreme-right wing political parties) was bound to become more virulent in a society that is desperately intolerant, obsessed with regimentation, and totally homogenized. There could be so much exhilaration inbuilt in life lived in a bewildering chimera cocktail of cultures, signs, differences and values; but then came the coupling of thinking with its exact IT replica -- artificial intelligence, playing with the line of demarcation between human and non-human in the domain of thought. The result, previewed by Baudrillard, was the secretion of a parapolitical society -- with a sort of mafia controlling this secret form of generalized corruption (think the financial Masters of the Universe). Power is unable to fight this mafia -- and that would be, on top of it, hypocritical, because the mafia itself emanates from power. The end result is that what really matters today, anywhere, mostly tends to happen outside all official circuits; like in a social black market. Is there any information truth? - Advertisement - Baudrillard showed how political economy is a massive machine, producing value, producing signs of wealth, but not wealth itself. The whole media/information system -- still ruled by America -- is a massive machine producing events as signs; exchangeable value in the universal market of ideology, the star system and catastrophism. This abstraction of information works as in the economy -- disgorging a coded material, deciphered in advance, and negotiable in terms of models, as much as the economy disgorges products negotiable in terms of price and value. Since all merchandise, thanks to this abstraction of value, is exchangeable, then every event (or non-event) is also exchangeable, all replacing one another in the cultural market of information. And that takes us to where we live now; Trans-History, and Trans-Politics -- where events have really not happened, as they get lost in the vacuum of information (as much as the economy gets lost in the vacuum of speculation).	1
265	President Donald Trump lost California by a wide margin in November. Yet the state was crucial to his surprise victory overall  —   thanks to the large number of Californians on his team, and to the specific issues he highlighted on the trail. [A new profile by Scott Lucas of Politico, “How California Gave Us Trumpism,” highlights these factors  —   as well as the unique role played by Breitbart California in coverage of the shocking murder of Kate Steinle on July 1, 2015:  The signal California moment for the marriage of Claremont constitutionalism and Breitbart spectacle came in July 2015, not long after Trump had launched his presidential campaign. On that day, Juan Francisco   an undocumented immigrant from Mexico who had been deported five times, allegedly fired three shots from a handgun while walking along the waterfront in San Francisco. One of those bullets ricocheted off the pavement and struck a    passerby named Kathryn Steinle in the back. She died two hours later in a nearby hospital. Breitbart feasted on the story, which it depicted as the ultimate proof of California’s decline and, more broadly, the grievous consequences of unconstitutional immigration run amok. San Francisco’s city leaders were criticized for prioritizing sanctuary city policies in a play for Latino votes, rather than carrying out their basic public safety functions. Mass immigration, the erosion of constitutional norms and   liberal politicians all played a role in Steinle’s death, Breitbart argued. From “Unchecked Immigration: A Greater Threat to The USA Than ISIS” and “SF Supervisors Refuse to Answer Questions About Steinle’s Death,” the site published more than 100 news and opinion articles about Steinle’s death. On the campaign trail, Trump quickly held up the incident as the epitome of a broken immigration system. “My heartfelt condolences to the family of Kathryn Steinle. Very, very sad!” the candidate tweeted days after the killing, adding “We need a wall!” Less than a week later, Breitbart News reported that Trump had surged in a poll of its readers, climbing to second place in the GOP primary field, behind Senator Ted Cruz of Texas. “Trump’s message about illegal immigration may resonate even more” after the shooting, the site reported, presciently. Lucas correctly identifies the Kate Steinle moment as a turning point in the campaign. As Breitbart News explained in September 2016, it was Trump’s effort to highlight the plight of the victims of crimes by illegal aliens that shifted the entire Republican primary race. As “Blue State Blues: The Graph That Explains Donald Trump’s Surge” recounted: On July 10, 2015, former Florida governor Jeb Bush was the frontrunner, at 16. 3%. Donald Trump was a distant seventh, with just 6. 5% of the vote. Keep in mind that Trump had been running against illegal immigration since he launched his campaign more than three weeks before, with his infamous remarks about illegal aliens from Mexico. None of that had resonated much. And then, on July 1,    Kate Steinle was shot and killed in San Francisco while strolling along a pier with her father. The murderer, Juan Francisco   had been deported five times before, and had been convicted of seven felonies. He later told a local journalist that he had specifically come to San Francisco because it was a “sanctuary city” that would not cooperate with federal immigration officials or enforce immigration laws. Breitbart News focused on that story in the days that followed. Breitbart California’s Michelle Moons, who had covered the protests in Murietta against   illegal alien children who had surged across the Mexican border exactly a year before, wrote a series of articles about Steinle. She used her extensive sources in the law enforcement community, as well as among families who had lost loved ones to crimes by illegal aliens, to build the details of the story and place it in a broader context. That was when Trump began to show an interest in meeting with those families, who had reached out to him in the days after the Steinle murder. He met with them on July 10 in Los Angeles, and the enduring image of that event was of the   Donald Trump standing silently as he listened to the families pouring out their grief.   …     From that moment, Trump took off in the polls, and almost never looked back. From seventh place in the RealClearPolitics average on July 10, Trump shot to first by July 19. His dramatic rise is all the more surprising given that only 7 percent of Americans called immigration the “most important problem” facing the country in a Gallup poll taken over the same period. By listening to the families, and giving them a voice, Trump was no longer speaking of illegal immigration in the abstract, but in a concrete, human way. In so doing, he connected with others who had been victimized, or ignored, by their own government on so many issues, from trade to Obamacare. That September 2016 article concluded: “The question now is whether Trump can convince enough voters by November 8 to trust him, as the victims’ families do. ” Of course, we now know the answer. Joel B. Pollak is Senior    at Breitbart News. He was named one of the “most influential” people in news media in 2016. His new book, How Trump Won: The Inside Story of a Revolution, is available from Regnery. Follow him on Twitter at @joelpollak.	0
104	After battling with cancer, Michael Novak, renowned American scholar and defender of the   economy and religious liberty, died on Friday at the age of 83. [The list of Novak’s accomplishments is long and varied. Hailing from the cultural left in the 1960s, Novak gradually came to see liberalism as morally and intellectually bankrupt, a journey he recounted in a winsome memoir titled Writing from Left to Right: My Journey from Liberal to Conservative.  A Catholic theologian, Novak wrote more than 50 books on a broad range of topics during his prolific career, including the groundbreaking 1982 work The Spirit of Democratic Capitalism, in which Novak made a moral case for the free market system. He also defended the idea of business as a vocation, an idea he revisited in greater depth in his 1996 book, Business as a Calling: Work and the Examined Life. Novak was the first theologian to make an   moral, cultural, and political case for the market economy in a systematic way, garnering him enduring opprobrium from the religious and secular left. “Democratic capitalism,” Novak wrote, is “neither the Kingdom of God nor without sin. Yet all other known systems of political economy are worse. Such hope as we have for alleviating poverty and for removing oppressive tyranny  —   perhaps our last, best hope  —   lies in this much despised system. ” As many theologians were promoting liberation theology as a remedy for economic and social problems in Latin America, Novak rejected the idea of embracing socialism as a solution to for   peoples, well before the public collapse of socialism in 1989. In her own memoir titled The Downing Street Years, Margaret Thatcher praised Novak’s “new and striking language” and “important insights,” and added that his writing on the morality of political economy “provided the intellectual basis for my approach to those great questions brought together in political parlance as ‘the quality of life. ’” Under Ronald Reagan, Novak worked as U. S. ambassador to the United Nations Commission on Human Rights as well as providing eleven years of service on the boards of Radio Free Europe and Radio Liberty. In 1978, Novak began work as a resident scholar at the American Enterprise Institute for Public Policy Research in Washington, D. C. where he served as director of social and political studies. In 1983, he was named the George Frederick Jewett Chair in religion and public policy and remained there until his retirement from the post in 2009. As Catholic League president Bill Donohue noted, “Michael Novak was more than a brilliant and dedicated Catholic, his range of scholarship was astounding. ” “Theologian, sociologist, economist, political scientist  —   he was all of these and more,” Donahue said. This author feels a particular debt of gratitude for more than 20 years of friendship and collaboration with Michael Novak, who was always insightful, gracious, loyal and true. In his 2008 book No One Sees God: The Dark Night of Atheists and Believers, Novak made the argument that the line of belief and unbelief “is not drawn between one person and another, normally, but rather down the inner souls of all of us. ” He has now entered the realm where belief gives way to vision, doubts to certainty and pain and sorrow to eternal joy. Requiesce in pace, Michael. Follow Thomas D. Williams on Twitter  Follow @tdwilliamsrome	0
340	During her   Senate tirade against the confirmation of Attorney General Jeff Sessions, Senator Elizabeth Warren ( ) criticized the former Alabama senator because his office suggested in a press release that a wealthy American corporation should hire Americans. [One would think Warren, who has been mocked as “Pocahontas” or “Fauxcahontas” for misrepresenting herself as a Native American to obtain preferential treatment, would be less cavalier toward Americans with serious questions about their own career prospects.  While there has been much media consternation over the populist direction of the Republican Party under President Donald Trump, there hasn’t been much discussion of the Democratic Party’s brand of populism, which finds its most vocal proponents in figures like Elizabeth Warren and Vermont senator Bernie Sanders. Indeed, many of the Democrat policies over the past generation could be critiqued as populist  —   what better term for promises of “free” college tuition or health care? The worst brand of populism attempts to manipulate the public by creating devil figures to play on its fears. About 35 hours into Warren’s tirade against Sessions on the Senate floor, she played that game with White House senior adviser Stephen Miller, who formerly served as communications director for Senator Jeff Sessions of Arkansas. (It’s actually 35 minutes into the clip below. It only feels like 35 hours.) Warren quoted extensively from a Daily Beast article, which sought to link Sessions to President Trump’s executive order for a temporary pause in visas and refugee applications from certain countries  —   incorrectly labeled a “refugee ban,” of course, because the media has demonstrated a comprehensive inability to discuss the executive order honestly. The idea behind the article was to cite the voluminous press releases Miller emailed when he was working for Sessions and suggest that Miller remained a puppet of Sessions even after he left to work for the Trump White House. (Or maybe Sessions is supposed to be a puppet of Miller. In any event, the gist of the argument Warren borrowed for her theatrical meltdown is that Sessions and Miller are excessively worried about terrorism  —   an argument that worked fantastically well with voters in 2016, propelling Hillary Clinton into the White House.) Among the ostensibly outrageous emails Miller sent when he worked for Sessions was “a link to a Facebook stock page on Google Finance with the subject line: ‘Does this mean Facebook has enough money now to hire Americans? ’” This seems like an odd digression for a Warren hit that was supposed to be about Jeff Sessions’ alleged   paranoid hostility to immigration. (She read the Daily Beast article right after reading the letter from Coretta Scott King condemning Sessions.)  But since she brought it up: why doesn’t she care about   corporations claiming they need more immigrant labor to remain profitable? All that Democrat posturing about their concern for the Little Guy goes right out the window when it’s time to push for   immigration, serve the needs of their   donors, or score cheap political points against a Republican. Democrats resolutely refuse to engage with the effect of madcap immigration policies on American unemployment and wages. It’s one of the big reasons Trump did so well with the “forgotten men” (and women!) who resent their status as designated losers under Democrat central planning.  Warren and her party have nothing to say when American workers, wearing both blue collars and white, question the wisdom of importing huge numbers of people for the express purpose of driving down U. S. wages, and the implied purpose of covering for the failure of our   education system. Whose fault is it, exactly, when employers claim they need imported labor to handle jobs Americans can’t or won’t do? The whole thing was a bizarre waste of time during a deliberation about whether Senator Sessions was fit to serve as Attorney General. Apparently Democrats still labor under the grave misapprehension that American voters think disagreement with Democratic orthodoxy is some sort of crime. Democrats know they can’t stop Trump’s Cabinet nominees  —   the American people made damn sure of that  —   so they’ve used confirmation hearings to perform   character assassinations, lay the groundwork for future assaults on Trump administration officials, whip up their demoralized voters, and (in Warren’s case) stage publicity stunts for their new books. None of that has anything to do with advice and consent for Cabinet nominees. Maybe Warren can take a break from reading other people’s writing into the Senate record and explain exactly why Stephen Miller was out of line for wondering if soaring corporate profits should translate into more American jobs. Her   rings hollow to people who see a difference between asking serious questions of Big Business and picking the pockets of random rich people to partially finance Democrat “free stuff” fantasies.	0
171	A California mother who beat cancer while she was pregnant with twins died from heart failure a day after she gave birth to them. [Jamie Snider of Fresno, 30, underwent treatment and chemotherapy for an aggressive form of cervical cancer while she was pregnant with twins, the Daily Mail reported.  After undergoing a   and a radical hysterectomy March 16, Snider passed away from heart failure. Snider had beaten the cancer before when she had an ovary removed. She was surprised and overjoyed when she got pregnant with twins. Snider already had two young daughters, Aubrey and Maddie, and was ready to fight the cancer once more. She went through intensive treatment at Stanford Medical Center while she was pregnant, and the disease went into remission once again. Snider posted a photo of herself on Facebook, optimistic about her pregnancy and things to come. Snider’s friend Larina Campanile told KFSN about Snider’s last post on Facebook before the surgery. “‘Tomorrow will be a great day,’” Campanile read from the post. “‘God has been by my side the whole time. All your prayers and love have kept me going as well. Wish me luck. I’m having a   at 7 and then a radial hysterectomy right after. I’ll be fine. Thank you, God, for keeping me positive through all the hard times.’ And that was her last post. ” Snider survived the surgeries March 16 but died of heart failure the morning after. The babies, named Camila and Nico, were born prematurely, at 33 weeks, but they are healthy, according to family members. “What gives me peace in my heart is she got to see those babies and hold them and be with them a little bit,” said Campanile. Family and friends have raised money on GoFundMe for Snider’s funeral expenses and help with the children.	0
144	Until the last mouse click of “To Build a Better Beta,” Pied Piper has existed only in the abstract, with endless promise and limitless value. Richard’s compression platform could be worth billions. It could be the next Facebook. It could change the world. Alternately, it could be utterly worthless, one of the countless failed   that pile up in Silicon Valley like E. T. cartridges in a New Mexico landfill. As Erlich Bachman, the father of such stillborn incubees as Aviato and Nip Alert, says, “Shuttering a company in the Valley like a rite of passage, like herpes simplex one. ” The metaphor gets more disgusting from there. Sunday night’s episode opens with Richard feeling exposed. He has fought hard to get his idea off the ground, but there was a certain amount of comfort in not getting what he wanted. Action Jack’s push for a clunky data storage appliance may have insulted his vision of an elegant compression engine with mass utility, but he could still hide behind the box. If Jack had prevailed, Richard could grouse forever about how his brilliant algorithm was squandered by a   businessman and no one could question it. Bringing the pure, uncompromised Pied Piper into the world is a dream that nonetheless puts Richard on the precipice of a true, lasting, fatal disaster. “To Build a Better Beta” is about the release of the beta version of Pied Piper, which is an important period for any tech company to work out the kinks before an official launch. It’s not one of the funnier episodes this season, because there’s so much heavy lifting required from a plotting standpoint, but it touches smartly on themes of trust, friendship and the lies we tell our friends and ourselves. That’s the benefit of “Silicon Valley” constantly bogging down its characters with setbacks and   conflict: Their response clarifies who they are and brings their relationships into sharper focus. The good news for Richard is that almost everybody loves the platform, including one notoriously critical user who calls it the best beta he’s seen in 15 years in the Valley. A beaming Jared enthuses, “I don’t want to count our chickens before they’re hatched  —   I mean, 3 percent of hatchlings are born mutated or dead  —   but we may have a healthy brood on our hands. ” The bad news is that Monica, whose opinion he values the most, so dislikes it that she initially lies to him about ever trying it at all. Her reassurances are comforting: She passed on a 20 percent stake in Slack, which she still doesn’t get (“Is it email? Is it a chat room? ”) and besides, in this business, investing in people is wiser than investing in products. And yet her general complaint about Pied Piper feeling too “engineered” seems on point, given the distance between the   coding nerds on Richard’s team and the ordinary flesh sacks who would actually be using the platform. “To Build a Better Beta” makes a joke out of Dinesh and Gilfoyle’s failure to fill out a   invite list. It stands to reason that users would find their software   too. The guys at Pied Piper know code, but they don’t know people (or business or fashion or social cues or other   matters) which is in large part of what makes “Silicon Valley” so funny. Gilfoyle and Dinesh each have a cover for their personal dysfunction. Gilfoyle writes off the whole of humankind as inherently venal and untrustworthy: “It’s a war of all against all. The history of humanity is a book written in blood. We’re all just animals in a pit. ” (Jared’s deadpan response, “I feel very sad now,” may be the funniest moment of the episode.) Dinesh merely makes up friends in the dim hope that no one will try to verify them. These cool dudes are too busy “snowboarding in Tahoe” to answer questions about the beta. (As ever, Jared is sympathetic, recalling all the escape plans he hatched with his imaginary friend, Harriet Tubman.) So underneath all the lies told in “To Build a Better Beta,” there’s a pitiful, childlike vulnerability. Monica doesn’t want to hurt Richard’s feelings when his confidence is at its most fragile. Gilfoyle and Dinesh don’t want to admit that they’re the only true friends each has. Only Jared seems comfortable in his own skin, which he’s described as his “home” when he has no place to sleep. Now that they’re finally releasing Pied Piper to an internet of faceless, unsympathetic, often hostile users, they’ll be totally defenseless. The creators of “Silicon Valley” surely know the feeling. Bytes • The unraveling of Bachmanity continues apace, with Erlich and Big Head scrambling to recover $6 million in funds their devious money manager has tucked away for tax purposes. The succession of disastrous meetings gives T. J. Miller an opportunity to hold court, which is always comedy gold. I particularly liked Erlich’s upset mood over the poor recovery efforts on his missing tiki head. • The episode makes a subtle point about the total disregard Silicon Valley has for matters of privacy. Hooli finds out about the Pied Piper beta by spying on company email. Gilfoyle finds out about Hooli scamming an invite code through the “God view” he installed in the platform. The show doesn’t make them equivalent violations  —   Hooli’s is more nefarious, Pied Piper’s more useful  —   but it’s taken as a matter of course that privacy concerns are a joke in the tech world. • Big Head has lost his entire $20 million settlement, but he gets to keep both of the cannonballs he rented. He’s going to be O. K. •   isn’t my favorite character, but his presence as a Erlich’s unwelcome tenant and tormentor this season has been good for a few stray laughs, none heartier than his prank phone call in the seconds before launch. “Erlich Bachman, this is your mom. You are not my baby. ”	0
210	Friday on ABC’s “The View,” the panel discussed the possibility of Ted Nugent, Kid Rock and Sarah Palin visit to the White House earlier this week being “the saddest day in the history of the White House since the British burned it to the ground in 1814?”    Joy Behar asked, “So, is this the saddest day in the history of the White House since the British burned it to the ground in 1814?”   Sunny Hostin said, “I think so. I think what was offensive to me was that Sarah Palin said she brought them because Jesus wasn’t available, so she’s comparing these folks to Jesus. ” Behar sarcastically added, “Oh, but they’re going to make America great again, these three. ” Follow Pam Key on Twitter @pamkeyNEN	0
418	Tweet BACKGROUND: The superiority of Lactated Ringer’s solution (LR) or normal saline (NS) in fluid resuscitation in a variety of medical and surgical scenarios remains the most hotly debated irrelevant topic in modern medicine. For this reason and because advancement in our academic medicine careers requires us to have a certain number of publications, we have designed this study to finally determine which of the two is the ULTIMATE FLUID! METHODS: The medical and surgical departments at Miskatonic Medical Center in Maine were made to compete in a no-holds-barred water balloon battle. The teams were randomized to either NS or LR-filled water balloons. Participants were blinded as to which fluid they were using and the data analysis teams were blinded as well. Finally, everyone involved was physically blindfolded by two different blindfolds, thus creating the first ever QUADRUPLE -BLIND clinical study. Nephrologists were excluded from participating, because they can unfailingly identify and manipulate all fluids with their psychic powers. RESULTS: The surgical department pulled into an early lead thanks in no small part to the orthopedics team. Led by Dr. Brock Hammersley and assisted by a platoon of Stryker reps who refilled water balloons and acted as spotters, the ortho team’s throws were powerful enough to send the medical department’s participants to the ER with broken bones . Dr. Hammersley almost won the day for the surgical department by turfing all the new admissions straight back to medicine. However, in a surprise twist, the medicine department pulled out their ace in the hole: legendary hospitalist and goalkeeper Tim Howard . Howard, who has managed to keep his hospitalist team admission-free for two straight years, was able to easily deflect every admission. Despite Dr. Howard’s assistance, the surgical team captured more flags, scored more touchdowns, shot more hoops, and generally looked cooler doing it all. Nevertheless, medicine ultimately won on points after the medical student on the Heme/Onc service managed to quote the JNC 9 Water Balloon Battle guidelines as pertaining to left-handed African-American male patients with preeclampsia on a night when five virgins are sacrificed to the blood moon. CONCLUSION: Lactated Ringer’s solution (ironically randomized to medicine) is the ULTIMATE FLUID! Further work needs to be done so we can continue getting NIH funding. 2K Shares 	1
427	1 Reply Tyler Durden – Perhaps the most beneficial outcome resulting from last night’s loss of the Clinton Clan, whose “charitable” donations from generous donors such as Saudi Arabia to the Clinton Foundation just ended, is that with Hillary not in charge, the probability of World War III has been taken off the table. This was confirmed early this morning, When Russian President Vladimir Putin – whose relations with the US and Barack Obama have deteriorated to Cold War levels – congratulated Donald Trump for his election victory on Wednesday, and said he expected relations between the Kremlin and Washington to improve. The Kremlin announced that Putin had sent a telegram to Trump on Wednesday morning expressing “ his hope they can work together toward the end of the crisis in Russian-American relations, as well address the pressing issues of the international agenda and the search for effective responses to global security challenges .” Additionally, speaking at the presentation ceremony of foreign ambassadors’ letters of credentials in Moscow, President Putin said that Russia is ready and looks forward to restoring bilateral relations with the United States, Russian President Vladimir Putin said, commenting on the news of Donald Trump’s victory in the US presidential election. “We heard Trump’s campaign rhetoric while still a candidate for the US presidency, which was focused on restoring the relations between Russia and the United States.” He added that “we understand and are aware that it will be a difficult path in the light of the degradation in which, unfortunately, the relationship between Russia and the US are at the moment.” Speaking about the degraded state of relations between the countries, the Russian president once again stressed that “it is not our fault that Russia-US relations are as you see them.” Other Russian politicians joined in. Russian State Duma Speaker Vyacheslav Volodin has also expressed hope that Trump’s victory in the presidential election will help pave the way for a more constructive dialogue between Moscow and Washington. “The current US-Russian relations cannot be called friendly. Hopefully, with the new US president a more constructive dialogue will be possible between our countries,” he said. “The Russian Parliament will welcome and support any steps in this direction,” Volodin added on Wednesday. Commenting on Donald Trump’s victory in the US presidential election, Russian Foreign Minister Sergey Lavrov said Russia will judge the new US administration by its actions and take appropriate steps in response. “We are ready to work with any US leader elected by the US people,” the minister said on Wednesday. “I can’t say that all the previous US leaders were always predictable. This is life, this is politics. I have heard many words but we will judge by actions.” Sergey Zheleznyak, member of Russian President Vladimir Putin’s United Russia party in parliament, hailed Trump’s “deserved victory” in a statement on the party’s website. “Despite all the intrigues and provocations that the current U.S. government put in front of Trump, people supported his intention to address the serious problems that have accumulated in America, and to move from confrontation to cooperation with Russia and the world, ” Zheleznyak said. “I hope that between now and [his] entry into office as the new president of the United States there will be no tragic events and the new U.S. administration will have enough political will and wisdom for civilized solutions to existing problems.” Russia’s second biggest party the Communist Party also issued a statement Wednesday morning, expressing hope for more cooperation and calling Trump’s win “astounding” and against the “elite clans” in the United States. The party leader was more lukewarm on the news, noting that U.S. imperialism was unlikely to change. Vladimir Zhirinovsky, the right-wing nationalist leader of the Liberal Democratic Party who has previously been nicknamed the Russian Donald Trump, called Clinton a “mindless old woman” and praised U.S. voters for “coming to their senses” after eight years of President Barack Obama, whom he referred to as “the Afro-American.” SF Source Zerohedge  	1
