id	text	label
1	NFU complains of ‘loopholes’ allowing corporations to exceed land limits, but government info under wrapsThe National Farmers Union on P.E.I. continues to raise concerns about corporate land ownership in the province, alleging "loopholes" in the province's Lands Protection Act are allowing corporations to exceed limits on the amount of land they can own.But it's a topic the provincial government isn't prepared to discuss, referring calls and questions to the Island Regulatory and Appeals Commission.And while IRAC receives annual reports from landowners whose holdings exceed 75 per cent of land limits, the commission says those reports are confidential.When P.E.I.'s Lands Protection Act was introduced in the 1980s it set limits on land ownership of 1,000 acres for individuals, and 3,000 acres for corporations.Those limits have nearly doubled in recent years with allowances for leased land and non-arable land to 1,900 acres for individuals and 5,700 acres for corporations.But for years the National Farmers Union has been raising concerns about government enforcement of the limits. On Saturday the group held a public forum with the title Land Grabbing on P.E.I.When we talk about the lands protection and the loopholes that are being violated or circumvented, what we mean is the spirit and the intent of the act is being violated, Doug Campbell, P.E.I. district director for the National Farmers Union told CBC.The letter of the law, we're not suggesting that's not being followed. But certainly the spirit and the intent of the whole act and what it was meant to achieve is definitely being violated.The NFU and others have raised concerns about one particular series of applications currently before IRAC.According to filings on the IRAC website, three corporations have submitted 32 applications to purchase parcels of land totalling 2,221 acres in the Summerside area currently owned by Brendel Farms Ltd.The three corporations which have made the applications include Galloway Farms Ltd., Long River Farms Ltd. and Indian River Farms Ltd. The newest of the three corporations, Galloway Farms, was registered as a corporation in the province on Feb. 5.The three farm corporations each list one or more of the same members of the Irving family as shareholders and directors — including Mary Jean Irving and her two daughters, Rebecca and Elizabeth Irving.Mary Jean Irving, president of Indian River Farms, spoke to CBC News.As you know there are applications before IRAC, she said. All I can say to you at this point … is I've been on the Island and growing potatoes for 29 years. I'm blessed to have two daughters that are interested in farming and have been working. So their application is in that they have for their farms.Irving said she did not want to discuss the operation of the three farm corporations publicly or provide any public comment as to whether the three corporations are connected.CBC also contacted Mary Keith, vice-president of communication for J.D. Irving Ltd. In an email response she wrote that neither J.D. Irving nor its subsidiary Cavendish Farms are involved with the proposed land purchases.P.E.I.'s Lands Protection Act does include measures to prevent corporations directly or indirectly controlled by the same person, group or organization from stacking up land limits in order to control more land. But neither the government nor IRAC agreed to an interview to talk about how the legislation is interpreted and enforced.The legislation also sets out that corporations in which the same people own more than five per cent of the shares count together in terms of the land limits. The legislation requires corporations owning more than 2,250 acres to submit annual land holding declarations which include the names of shareholders who own more than five per cent of the shares.A spokesperson for IRAC told CBC the commission reviews each corporation filing a declaration each year, but said the results of those reviews are confidential. The commission also said the size of the land holdings of corporations who submit declarations are also confidential.PC MLA Brad Trivers said he's been raising concerns about ownership as a member of the standing committee on communities, land and environment for the past two years.While the committee has heard from a number of witnesses — including representatives of Cavendish Farms last November — the committee has not delivered any recommendations on the issue.The most frustrating part of it is, it's such an important issue … and we've made very little progress, Trivers said.Trivers said government needs to be more transparent with existing records on land ownership to let Islanders know how much land is controlled by corporations and non-residents.We need real data so we can look at this in an intelligent and informed way.Trivers said some Islanders are trying to figure out who owns what by scouring through cabinet approvals for land purchases, trying to link those to names in the provincial corporate registry and property IDs in the provincial land database.That's not the way we should be doing this. We need the government to come forward, and verify using their official records how much land is actually owned by corporations, how much land is owned by non-residents, and what are the connections between corporations.So it comes down to opening up.In April 2018 Minister of Communities, Land and Environment Richard Brown said he'd asked IRAC to conduct a major review of land ownership on P.E.I. to see whether anyone was breaking the rules. At the time he said he hoped the review would be ready to present to committee by the fall of 2018.Government says a report on corporate and non-resident land ownership has now been delivered and will be released following a review by the department. However government says a separate review of the Lands Protection Act is yet to be completed.The National Farmers Union says time is of the essence, and says it's trying to make land ownership an issue in the coming provincial election.We are in a crisis mode here with our land, said Campbell. It has to be dealt with.	0
2	Veteran Democratic operative Donna Brazile finally admitted that she used her former position as a CNN commentator to relay questions ahead of debates to Hillary Clinton during the Democratic primary.For months, Brazile has avoided confirming that hacked emails from the campaign showed her forwarding the questions, which were asked at separate debates. But in a new essay for Time magazine looking back on the hackings, she said it was true."[I]n October, a subsequent release of emails revealed that among the many things I did in my role as a Democratic operative and [Democratic National Committee] Vice Chair prior to assuming the interim D.N.C. Chair position was to share potential town hall topics with the Clinton campaign," she said.As recently as February, Brazile would only say that the emails "allegedly" showed her forwarding the questions.In her Time essay, however, she said she was remorseful."My job was to make all our Democratic candidates look good, and I worked closely with both campaigns to make that happen," she said. "But sending those emails was a mistake I will forever regret."Brazile has since resigned from CNN.	0
3	BLACKWOOD, N.J. — Hillary Clinton on Wednesday mocked Donald J. Trump as evasive and secretive after he suggested that he would not release his tax returns before the November election, which would be a break with 40 years of political precedent.But Mr. Trump quickly hit back, saying that he still intended to release his tax returns as soon as a federal audit was completed — and that Mrs. Clinton was hitting him out of desperation.Mrs. Clinton, at a rally here to open her campaign for the New Jersey primary on June 7, had just begun attacking Mr. Trump’s proposed tax cuts for wealthy Americans when a man in the audience called out, “What about his tax returns?”Mrs. Clinton, who often ignores catcalls, smiled and said, “We’ll get to that.”Moments later she urged the man and other voters to keep asking to see Mr. Trump’s tax filings and indicated that her campaign would make them an issue in the general election, saying, “We’ll get around to that, too.”“Because when you’re running for president and you become the nominee, that’s kind of expected,” said Mrs. Clinton, who, with her husband, former President Bill Clinton, has released annual tax returns since 1977 and posted eight years of returns on her campaign website.“So you’ve got to ask yourself, why doesn’t he want to release them?” Mrs. Clinton said with a slightly dark edge to her voice. “Yeah, well, we’re going to find out.”The tax filings are a ripe target for the Clinton campaign given that Mr. Trump has been portraying her as the candidate with something to hide, attacking her for using a private email server as secretary of state and earning millions of dollars for paid speeches that have not been made public.Clinton advisers have also been seeking fresh lines of attack on Mr. Trump’s character, given that he has begun criticizing Mrs. Clinton as an “enabler” of Mr. Clinton’s extramarital behavior. By seizing on the tax issue, rather than responding directly to Mr. Trump’s broadsides, the Clinton campaign could undermine Mr. Trump’s attempt to sit in judgment of the character and transparency of the Clintons.Mr. Trump, who had said for months that he would release his returns for voters to scrutinize, opened himself up for criticism after he told The Associated Press, in an interview published on Wednesday, that he did not plan to release his returns before the general election.“There’s nothing to learn from them,” Mr. Trump told The A.P., explaining that he did not think voters were particularly interested in the contents of his returns.Mr. Trump, in a telephone interview later on Wednesday, said he was following legal advice by not releasing his tax returns until the “very unfair government audit” was complete.“I will release them as soon as the audit is done. I hope that’s soon,” he said. “I’d like to do it before the election.”Mr. Trump added that he thought Mrs. Clinton was attacking him because she was struggling to win over voters and beat Senator Bernie Sanders for the Democratic nomination.Making tax returns public is not required of presidential candidates, but there is a long tradition of major party nominees doing so. Joseph J. Thorndike, who tracks presidential tax returns as the director of the Tax History Project at the nonpartisan Tax Analysts, said Mr. Trump would be the first major candidate since 1976 to not make any of his full returns public. President Gerald R. Ford released a summary of his tax returns that year.Dr. Thorndike noted that President Richard M. Nixon released his tax returns while he was under audit, starting the tradition of presidential candidates making their returns public.“I think 40 years of tradition carries real moral and ethical weight,” Dr. Thorndike said. “It is quite striking that a major candidate would decide not to release their tax information — especially someone with an admittedly complex tax situation.”Among the most prominent people to call on Mr. Trump to release his returns this year has been Mitt Romney, the 2012 Republican presidential nominee, who did not want to release his tax returns but finally relented under pressure. One of the people who encouraged him to do so was Mr. Trump, who said that Mr. Romney should be proud of his wealth and not hold back his financial information.At her New Jersey rally, Mrs. Clinton highlighted Mr. Trump’s tax returns to reinforce a broader point about his approach to taxation, portraying him as a billionaire businessman who was concerned only with his own interests and those of fellow wealthy Americans.She said that his tax plan — which envisions a top tax rate of 25 percent, compared with the current maximum rate of 39.6 percent — would provide $3 trillion in tax relief to millionaires and billionaires over the next decade, a figure that her campaign attributed to an analyst at a left-leaning think tank. She also cited studies showing that the plan would add $34 trillion to the national debt over 20 years.“Donald Trump’s tax plan was written by a billionaire for billionaires,” Mrs. Clinton said, adding that $3 trillion would be “enough money to make Social Security and Medicare solvent for the next 75 years.”Mrs. Clinton was blunt about her own tax plans, noting that she would target the wealthy and rule out any tax increases on middle-class Americans.“I do want to raise rich people’s taxes because they have benefited the most from the economy in the last 15 years,” she said to cheers from several hundred union workers, college students, professors and others gathered in a gym at Camden County College. “It’s time they paid their fair share for America’s prosperity and our success.”	0
4	CUCUTA, Venezuela/Colombia border – As Venezuela continues to crumble under the socialist dictatorship of President Nicolas Maduro, some are expressing words of warning – and resentment – against a six-year-old gun control bill that stripped citizens of their weapons.“Guns would have served as a vital pillar to remaining a free people, or at least able to put up a fight,” Javier Vanegas, 28, a Venezuelan teacher of English now exiled in Ecuador, told Fox News. “The government security forces, at the beginning of this debacle, knew they had no real opposition to their force. Once things were this bad, it was a clear declaration of war against an unarmed population.”Under the direction of then-President Hugo Chavez, the Venezuelan National Assembly in 2012 enacted the “Control of Arms, Munitions and Disarmament Law,” with the explicit aim to “disarm all citizens.” The law took effect in 2013, with only minimal pushback from some pro-democracy opposition figures, banned the legal commercial sale of guns and munitions to all - except government entities.Chavez initially ran a months-long amnesty program encouraging Venezuelans to trade their arms for electrical goods. That year, there were only 37 recorded voluntary gun surrenders, while the majority of seizures - more than 12,500 – were by force.In 2014, with Nicolás Maduro at the helm following Chavez’s death but carrying through his socialist “Chavista” policies, the government invested more than $47 million enforcing the gun ban – which has since included grandiose displays of public weapons demolitions in the town square.A former gun store owner inside Venezuela – who told Fox News he has now been relegated to only selling fishing supplies since the ban – said he can’t sell any type of weaponry - even a slingshot - and underscored that even BB ammunition and airsoft guns are only issued to police and military officers.The punishment for illicit carrying or selling a weapon now is 20 years behind bars.Prior to the 2012 reform, there were only around eight gun stores in the entire country. And the process of obtaining a legal permit to own and carry was plagued by long wait lines, high costs and bribery “to make the process swifter” at the one department allowed to issue licenses, which operated under the umbrella of the Ministry of Defense.“Venezuelans didn’t care enough about it. The idea of having the means to protect your home was seen as only needed out in the fields. People never would have believed they needed to defend themselves against the government,” Vanegas explained. “Venezuelans evolved to always hope that our government would be non-tyrannical, non-violator of human rights, and would always have a good enough control of criminality.”He said it didn’t take long for such a wide-eyed public perception to fall apart. “If guns had been a stronger part of our culture, if there had been a sense of duty for one to protect their individual rights, and as a show of force against a government power – and had legal carry been a common thing – it would have made a huge difference,” he lamented.Since April 2017, almost 200 pro-democracy protesters in Venezuela – armed mostly with stones – were shot dead by government forces in brutal retaliation to their call to end the oppressive socialist regime. The once oil-wealthy nation has continued its downward spiral into financial ruin, extreme violence, and mass human rights violations. An estimated three million Venezuelans have been forced to flee since 2015.“Venezuela shows the deadly peril when citizens are deprived of the means of resisting the depredations of a criminal government,” said David Kopel, a policy analyst, and research director at the Independence Institute and adjunct professor of Advanced Constitutional Law at Denver University. “The Venezuelan rulers – like their Cuban masters – apparently viewed citizen possession of arms as a potential danger to a permanent communist monopoly of power.”Although the bill was sold to the population as a hardline effort to improve security, and sharply reduce crime, many now point to Venezuela as a case study for how gun prohibition can actually produce the opposite effect.The violent crime rate, already high, soared. Almost 28,000 people were murdered in 2015 – with the homicide rate becoming the world’s highest. Compare that, according to GunPolicy.org – an international firearms prevention and policy research initiative – to just under 10,000 in 2012, and 6,500 thousand in 2001, the year before Chavez came to power.The total number of gun deaths in 2013 was estimated to 14,622, having steadily risen from 10,913 in 2002. While comprehensive data now goes unrecorded by the government, in September this year, Amnesty International declared Venezuela had a murder rate “worse than some war zones” – 89 people per 100,000 people - and three times that of its volatile neighbor Brazil.Much of the crime has been attributed by analysts to government-backed gangs – referred to in Spanish as “collectivos” – who were deliberately put in place by the government.“They were set up by the government to act as proxies and exert community control. They're the guys on the motorcycles in the poor neighborhoods, who killed any protesters,” said Vanessa Neumann, the Venezuelan-American president and founder of Asymmetrica, a Washington, D.C.-based political risk research and consulting firm. “The gun reform policy of the government was about social control. As the citizenry got more desperate and hungry and angry with the political situation, they did not want them to be able to defend themselves. It was not about security; it was about a monopoly on violence and social control.”So while Venezuelan citizens were stripped of their legal recourse to bear arms, the “collectivos” – established by Chavez when came to power – were legally locked and loaded. Deemed crucial to the survival of the socialist dictatorship, the “collectivos” function to brutally subjugate opposition groups, while saving some face as they aren’t officially government forces, critics contend.Eduardo Espinel, 35, who serves as a representative for the rapidly growing Venezuelan population in the Colombian border town of Cucuta – having fled his ailing nation two years ago under the threat of being kidnapped by local gangsters – said the law had proliferated the violence by allowing the collectivos to freely and legally shoot and kill.“Everyone else but the common citizen. This law asks for the disarming of the common people, but everyone else can carry,” Espinel said. “The kind of law might make sense in a normal country, but in Venezuela, it makes no sense. People are faced with crime and have no easy means to defend themselves.”And Maribel Arias, 35, who was once a law and political science student at the University of Los Andes in her home state of Mérida but fled to the Colombian border with her family two years ago – living mostly on the streets as she and her husband take turns finding odd jobs such as selling water and attending bathrooms and while sharing the parenting duties of tending to their four children – bemoaned that they simply cannot rely on the nation’s law enforcement.“The people of Venezuela should have rights for gun carrying because there is just too much crime and people should have the right to defend themselves because the justice system is not working,” Arias asserted. “If you call the police, the police come only if they want. If they capture the criminal maybe they will take away whatever they stole, but they normally go free again. It’s a vicious cycle.”Many contend the gun ban has in some ways hurt police and law enforcement, who have themselves become a more fervent target of street gangs. There was a 14 percent increase in police murders in 2016. And more than 80 percent of assailants subsequently stole the officer’s gun, according to Insight Crime.Some experts contend many of the weapons and ammunition used by gangsters were once in the hands of government forces, and obtained either through theft or purchase from corrupt individuals.And adding to the complication, the ranks of the police force are beleaguered by crime and corruption. “Crimes are committed by police, a lot of the criminals are police themselves,” said Saul Moros, 59, from the Venezuelan city of Valencia.Luis Farias, 48, from Margarita, said that gun violence was indeed bad when guns were freely available for purchase. But it became much worse after the gun ban was passed. “Now the criminal mother is unleashed,” Farias said. “Trying to ban guns didn’t take guns off the streets. Nobody cares about the law; the criminals don’t care about the law.”A black market in weapons is also thriving. There are an estimated six million unregistered firearms circulating in Venezuela, but they remain far from reach for the average, non-criminal Venezuelan.“The black market of weapons is very active, mostly used by violent criminals,” said Johan Obdola, a former counter-narcotics chief in Venezuela and now president of Latin America-focused, Canada-based global intelligence and security firm IOSI. “Venezuelans simply looking to protect themselves from the regime are totally vulnerable.”Prices vary daily. But an AR-15 rifle goes for around $500, sources said, while handguns sell for about $250. Those prices are far beyond the reach of the average Venezuelan.“Most guns can be bought illegally in a sort of pyramid structure. A big irregular group or criminal organization has the best access to weapons directly from the government, and they sometimes even get access to basically new unused weaponry," explained Vanegas. "The longer down the pyramid you are, you must get your weapon from the nearest big irregular group that overpowers you within your territory. This is not an option for any moral person, due to the fact that you need to deal with criminals in order to get an illegal gun. And for many obvious reasons, people will not even consider this.”The Venezuelan government denies it is in a deeply deteriorating crisis, caused by its own policies. Rather, it blames the United States and opposition leaders for waging an “economic war.”According to Omar Adolfo Zares Sanchez, 48, a lawyer, politician, and former mayor of Campo Elías municipality in the Venezuelan state of Mérida, it is now all but too late to make guns legally accessible to the average person.“Without a doubt, if there had been a balance of armed defense we could have stood up and stopped the oppression at the beginning,” he contended. “But there is too much anarchy on the streets now. Making guns easier for anybody to buy now would start a civil war.”Other Venezuelans argue that while violence has indeed rapidly increased in the years since the gun ban, it might have been that much worse as the economy collapsed, and the country deteriorated.  “The problem from the beginning and still now is that there are too many people in Venezuela who are lawless. Crime is a way of living,” said Emberly Quiroz, 25, mother of three. “Access to weapons won’t solve the problem.”	0
5	Former Secretary of State Hillary Clinton announced today that she is seeking the Democratic presidential nomination for the 2016 election."I'm running for president," she says in a video posted this afternoon on the website hillaryclinton.com. "Americans have fought their way back from tough economic times, but the deck is still stacked in favor of those at the top. Everyday Americans need a champion. I want to be that champion.On Friday, NPR and other news organizations quoted sources familiar with Clinton's campaign as saying she would make her announcement official today.The former U.S. senator from New York is the first Democrat to officially announce a presidential run — and she's by far the favorite to win the nomination. Likely Democratic candidates include Vice President Joe Biden, Maryland Gov. Martin O'Malley and Jim Webb, a former U.S. senator from Virginia who previously served as President Reagan's secretary of the Navy.As New York magazine wrote in an April 5 profile:"A lot can happen between now and then, but barring something truly unprecedented and totally unforeseen — a meteorite, a Benghazi revelation, a health scare, or a Martin O'Malley groundswell — on July 28, 2016, Hillary Clinton will step onto a stage in Philadelphia. There, surrounded by red-white-and-blue bunting and balloons — as well as Bill, Chelsea, baby granddaughter Charlotte, and tens of thousands of screaming Democrats — she will officially become her party's presidential nominee."Polls also show the former first lady leading all her possible Republican rivals in a 2016 matchup. But at a similar juncture in 2007, she was the favorite to win her party's presidential nomination for 2008 — a contest she lost to then-Sen. Barack Obama.Clinton also faces questions about her use of a personal email account while secretary of state, about her role in the Benghazi controversy, and about funds raised by the Clinton Foundation from foreign governments during her tenure at the State Department.In a response to Clinton's announcement, the Republican National Committee issued a statement calling her trust into question."Over decades as a Washington insider, Clinton has left a trail of secrecy, scandal, and failed policies that can't be erased from voters' minds. The Clintons believe they can play by a different set of rules and think they're above transparency, accountability, and ethics," the RNC statement said.You can follow more detailed coverage of this story on our It's All Politics blog here.	0
6	Russia announced statistics that China dumped black caviar at Russia at ultra-low prices.Vasily Sokolov, deputy director of the Russian Federal Fisheries Agency, revealed on February 18 that the amount of black caviar exported by China to Russia has increased significantly in recent years. In the past three years alone, the number of black caviar exports from China to Russia has increased from 3.5 tons to nearly 18 tons, a five-fold increase. He also stressed that the figure is only official official import and export trade data, rather than the amount of regular imported black caviar, no one can count the specific figures. But no doubt, China's caviar has already taken up a very large share of the Russian market. The Deputy Director of the Russian Federal Fisheries Agency also stated that Chinese suppliers have adopted the dumping method of exporting to the Russian market at an ultra-low price. If the cost of black caviar in Russian domestic fisheries is as high as $500-600 per kilogram, then the price of black caviar from Chinese suppliers is $200 per kilogram. Russia’s “Viewpoint” reported on the 18th that most of the black caviar produced in China will be repackaged after importing into Russia, using Russian own trademarks and packaging, all of which are “made in Russia”. Ordinary consumers simply can't tell. Russian experts explained that China's black caviar is repackaged and resold with Russian brand names because Chinese goods have a poor reputation and will not be trusted by consumers if they are sold directly. Russian fishery news agency expert Alexander Saviliyev commented: "After continuous exposure, the Russian public now know that China's aquaculture industry uses a lot of hormones and various unknown chemicals in order to promote, It shortens its spawning period. If Russian carp is seeded for 7-8 years, it takes less than 4 years in China. At the same time, chemicals are commonly used during storage and transportation.” Recently, Russian law enforcement agencies The case of the capture of a batch of black caviar imported from China in Khabarovsk, not far from the Chinese border, shocked Russian society. A long-distance car with a coffin in a local funeral parlour was parked for speeding and found 500 kg of Chinese caviar in the coffin on the car.Alexander Novikov, chairman of the Russian "Squid Breeding Federation" commented: "Because of the high price, fake and shoddy caviar has been repeatedly banned, law enforcement agencies should formulate regulations requiring businesses to indicate the place of origin and packaging on the goods, so that Consumers know if this is Russia's own caviar. However, for the Russian media to constantly promote the "Chinese chemical black caviar" approach, some Chinese fisheries farmers responded that this is a reputation for deliberately discrediting Chinese products. Some Russian and former Soviet republics have imported black caviar from China at a very low price and then repackaged and sold it to the Russian market at a high price. Radio Free Asia reporter Liu Xinyu comprehensive report Editor: Jia Yuan Network: Hong Wei	0
7	Former Secretary of State and presidential candidate Hillary Clinton offered a stark view of the country on Sunday, comparing the current “crisis in our democracy” to the turbulence that occurred amid the Civil Rights movement of the 1960s.Speaking during a reception in Selma, Ala. to mark the 54th anniversary of "Bloody Sunday” and to receive the International Unity Award at the Martin Luther King and Coretta Scott King Unity Breakfast, Clinton said that the United States is facing a "full-fledged crisis in our democracy.""This is a time, my friends, when fundamental rights, civic virtue, freedom of the press, the rule of law, truth, facts and reason are under assault," Clinton said, according to the Hill.Clinton is one of a number of Democratic leaders in Selma this weekend for the ceremonies surrounding the “Bloody Sunday” anniversary.Not to be confused with the “Bloody Sunday” massacre in Northern Ireland in 1972, the events being remembered in Alabama occurred on March 7, 1965, when peaceful demonstrators were beaten back by Alabama state troopers as they attempted to cross the Edmund Pettus Bridge. It was a moment that galvanized support for the passage of the Voting Rights Act later that year.While Clinton did not specifically mention President Trump in her speech, she said that “racist and white supremacist views” have been buoyed by the current administration and warned that civil and voting rights were under attack in the U.S."To anyone who has ever wondered what you would have done during those defining moments that we read about in history books -- whether you would have risked arrest to demand votes for women or bled on the Edmund Pettus bridge to demand voting rights for all -- the answer is what you are doing now could be as important as anything that anyone has done before," Clinton said.Voter suppression emerged as a key issue in the 2018 midterm elections in states such as Georgia and North Carolina, where a Republican congressional candidate was accused of rigging the contest there through absentee ballots. House Democrats signaled they plan to make ballot access a priority in the new Congress, introducing legislation aimed at protecting voting rights in 2020 and beyond.Clinton, who lost to Trump in the 2016 presidential election and has remained a staunch critic of the current administration, was one of a number of Democrats in Alabama over the weekend. 2020 presidential hopefuls Sens. Bernie Sanders, I-Vt. and Cory Booker, D-N.J., are also slated to speak in Selma.The Associated Press contributed to this report.	0
9	WASHINGTON — A year and a half before the 2020 presidential election, President Donald Trump faces formidable obstacles in his bid for re-election, according to the latest NBC News/Wall Street Journal poll.Just four in 10 voters say they would re-elect him next year; 58 percent don’t think he’s been honest and truthful regarding the Russia probe; and 60 percent disapprove of his recent national emergency declaration to build a border wall.But Democrats who want to defeat Trump have hurdles of their own. The president's job rating remains stable with nearly 90 percent of Republicans approving of his job. And a majority of Americans remain confident in the economy, believing that there won’t be a recession in the next year.Add it up, and 2020 is shaping up to be yet another close presidential race, say the Democratic and Republican pollsters who conducted the NBC/WSJ survey.“It’s a 45-55 against the president at this stage of the game,” said Democratic pollster Peter Hart.Bill McInturff, a GOP pollster, added, “As long as these economic numbers look like this, that always keeps an incumbent president in the race.And Fred Yang, another Democratic pollster, argues that the contours of the race will change once there’s an official Democratic opponent to Trump.“Another lesson we painfully learned from 2016 is that elections are a choice between candidates and not a referendum on one candidate,” he said.The NBC/WSJ poll — conducted Sunday Feb. 24 to Wednesday Feb. 27 — comes amid another turbulent week in Trump’s presidency, highlighted by the congressional testimony by his former lawyer and fixer Michael Cohen’s, failed nuclear negotiations between the United States and North Korea, and the Democratic-led House of Representatives voting to reverse Trump’s emergency declaration on the border.Still, attitudes about the president remainsteady, with 46 percent of Americans approving of Trump’s job performance — up three points from January, although that’s well within the poll’s margin of error.The top groups approving of Trump: Republicans (88 percent), rural residents (60 percent), whites without college degrees (60 percent), men (54 percent) and whites overall (54 percent).The top groups disapproving: African Americans (88 percent), Latinos (64 percent), women (61 percent), those ages 18-34 (57 percent), whites with college degrees (55 percent) and independents (51 percent).Forty-one percent of registered voters say they will “definitely” or “probably” vote for Trump in 2020, versus 48 percent who say they will “definitely” or “probably” vote for the Democratic candidate.Those numbers for Trump are worse than what Barack Obama faced at this same point in time in the 2012 cycle, when 45 percent said they’d vote for him, while 40 percent would vote for the Republican opponent.But they’re on par with Bill Clinton’s numbers in January 1995, when 38 percent said they’d vote for Clinton, versus 42 percent who said they’d pick the generic Republican candidate.Both Obama and Clinton won their re-election contests.The NBC/WSJ poll also tested 11 different presidential characteristics.The most popular: An African American (a combined 87 percent of all voters say they are “enthusiastic” or “comfortable” with that characteristic), a white man (86 percent), a woman (84 percent), and someone who is gay or lesbian (68 percent — up from 43 percent in 2006).	0
10	Sen. Mark Warner, D-Va., on Sunday said there are "enormous amounts of evidence" linking the Trump campaign to Russia — the same day House Intelligence Committee Chairman Adam Schiff, D-Calif., said there's "direct evidence" of collusion between the two.The top Democrat on the Senate Intelligence Committee disputed on NBC's "Meet the Press" recent remarks by Sen. Richard Burr, R-N.C. claiming that the committee hasn't found "factual evidence" of collusion between Russia and the Trump campaign.Warner, referring to "the litany of what we know,"  said, "the ongoing negotiations about Trump Tower, well into the campaign, I believe the fact that Mr. Trump knew about the dump of the Wikileaks material, the fact that clearly the meeting at Trump Tower meeting which was not described appropriately, in terms of offering dirt," were all evidence."To me, that's all evidence," he said. "There’s no one that could factually say there’s not plenty of evidence of collaboration or communications between Trump Organization and Russians."Warner, however, did note that he'd be withholding full judgment until the Senate Intelligence Committee finishes its investigation into the 2016 presidential campaign.Meantime on Sunday, House Intel Chair Schiff said on CBS' "Face the Nation" that he believes "there is direct evidence in the emails from the Russians through their intermediary offering dirt on Hillary Clinton as part of what is described in writing as the Russian government effort to help elect Donald Trump."“They offer that dirt. There is an acceptance of that offer in writing from the president’s son, Don Jr., and there is overt acts and furtherance of that… That to me is direct evidence," Schiff added.The Senate committee's investigation is separate from that of Special Counsel Robert Mueller, who is also probing Russian election interference, questions of collusion and possible obstruction of justice by the Trump campaign.The Associated Press contributed to this report.	0
11	Longtime Fox News president Roger Ailes fed Donald Trump debate questions, according to a lengthy new investigation from the New Yorker.The piece, written by Jane Mayer and published on Monday in advance of their March issue, says that even Megyn Kelly’s famously tough question to Trump about his past remarks toward women were slipped to the billionaire in advance.“A pair of Fox insiders and a source close to Trump believe that Ailes informed the Trump campaign about Kelly’s question,” Mayer said. “Two of those sources say that they know of the tipoff from a purported eyewitness. In addition, a former Trump campaign aide says that a Fox contact gave him advance notice of a different debate question, which asked the candidates whether they would support the Republican nominee, regardless of who won.”Both instances were significant moments for Trump early in his race for the White House. The spat with Kelly helped cement his reputation as a shameless outsider and ignited a feud that made Kelly a household name but severely damaged her standing among the network’s diehard viewers. Trump’s defiant refusal to promise his eventual support for the eventual Republican nominee made him an instant establishment bête noire.A rep for Fox News directed TheWrap to a denial they issued to the New Yorker. A rep for the White House did not immediately respond to a request for comment.Ailes died in 2017 and with him likely went the full truth about the incident. The story, however, has percolated in media circles for years and has been denied in the past by several of those involved — including Kelly.“For the record, my book ‘Settle for More’ does not suggest Trump had any debate Qs in advance, nor do I believe that he did,” she said in a 2016 tweet promoting her book.“[Roger Ailes] had nothing to do with our debate preparation. Nothing! It was Wallace, Baier, me, Stirewalt and Fox News Bill Sammon, that’s it,” she reiterated on her own Fox News show around the same time. “We wrote our own questions. No one told me what to write because there’s another report out there that Rupert Murdoch got involved, which he didn’t.”Kelly added that any idea to the contrary was “nonsense.”The issue of feeding debate questions to candidates was a serious one during the 2016 campaign. Former DNC official Donna Brazile continues to take heat from left wing activists over her disclosure that she ferreted along sample town hall topics to Hillary Clinton’s campaign to help give her an edge over Bernie Sanders. She has called the decision a mistake and something she would regret “forever.”	0
