id,label
132,0
63,1
279,1
296,0
452,1
375,1
395,1
79,0
258,1
429,1
147,0
246,0
358,1
122,0
310,1
159,0
353,1
380,1
231,0
345,1
88,1
78,0
213,0
476,1
365,1
111,0
66,0
264,1
171,0
228,0
491,1
329,1
473,1
283,1
240,0
95,0
175,0
169,0
121,0
420,1
472,0
278,0
145,0
301,0
22,0
152,1
298,0
254,1
496,1
474,1
488,1
284,1
379,1
354,1
137,0
281,1
262,0
155,0
26,0
206,0
362,1
359,1
199,0
256,1
144,0
309,0
70,0
164,0
248,0
20,0
204,0
404,1
56,0
448,1
237,0
441,1
249,1
437,0
399,1
252,1
417,1
367,1
210,0
480,1
368,1
255,1
170,0
105,0
201,0
407,1
427,1
308,1
75,0
55,0
69,1
277,1
433,1
176,0
376,1
257,1
335,1
229,0
347,1
103,0
177,0
250,0
33,0
160,0
386,1
419,1
189,0
409,1
167,0
450,1
14,0
412,1
269,1
285,1
36,1
295,1
305,1
42,0
470,1
410,1
341,1
52,0
163,0
226,0
276,1
292,1
47,0
327,1
457,0
115,0
203,0
444,1
49,0
236,0
31,0
315,1
272,1
382,1
253,1
343,0
16,0
148,0
30,0
291,1
217,0
352,1
185,0
361,1
357,1
385,1
241,0
166,0
328,1
198,0
331,1
416,1
314,1
330,1
179,0
311,1
393,0
157,0
107,1
93,0
156,0
136,0
436,1
37,0
141,0
428,1
71,0
447,1
350,1
266,1
394,1
317,1
451,1
81,1
113,0
190,0
487,1
131,0
234,0
110,0
109,0
9,0
499,1
97,0
377,1
18,0
151,0
102,0
355,1
294,1
259,1
261,1
268,1
54,0
263,1
443,1
11,0
6,0
388,1
431,1
154,1
318,1
449,1
495,1
381,0
282,1
304,1
230,0
2,0
459,1
83,0
158,0
77,0
415,1
140,1
360,1
366,1
477,1
434,1
461,1
191,0
397,1
85,0
196,0
104,0
439,1
135,0
68,0
323,1
307,1
218,0
312,1
53,0
100,1
195,0
426,1
108,0
222,0
338,1
413,1
274,1
1,0
239,1
378,1
200,0
348,1
17,0
467,1
130,0
192,0
139,0
32,0
120,0
129,0
89,0
275,1
482,1
21,0
424,1
168,0
65,0
5,0
244,0
430,1
225,0
321,1
10,0
153,0
184,0
117,0
29,0
471,1
455,1
188,0
82,0
34,0
112,0
124,0
23,0
143,1
479,1
339,1
43,0
161,0
15,0
440,1
344,1
233,0
4,1
212,0
72,0
458,1
270,1
245,0
389,1
62,0
25,0
125,0
290,1
127,0
485,1
64,1
194,0
207,0
340,1
475,1
205,0
142,0
289,1
76,0
197,0
363,1
462,1
490,1
484,1
435,1
51,0
73,0
174,0
216,0
74,1
178,0
401,1
227,0
337,1
126,0
398,1
371,1
7,0
118,0
8,0
349,1
271,1
498,1
133,0
221,0
38,0
322,1
98,0
400,1
12,0
306,1
320,1
215,0
149,0
288,1
27,0
286,1
342,1
391,0
497,1
134,0
186,0
478,1
220,0
369,1
442,1
396,1
128,0
41,0
406,1
183,0
13,0
223,0
302,1
92,1
67,0
324,1
390,1
114,0
123,0
297,1
408,1
232,0
181,0
303,0
87,0
57,0
94,0
96,0
336,1
182,0
48,0
494,1
403,1
464,1
84,0
202,0
454,1
251,1
332,0
351,1
44,0
243,0
293,1
402,1
492,1
219,0
299,1
486,1
346,1
19,0
493,1
333,1
373,1
60,0
438,1
422,1
383,1
453,1
187,0
287,1
405,1
319,1
59,0
374,1
173,0
260,1
356,1
46,0
468,1
214,0
411,1
469,1
247,0
500,1
119,0
334,1
224,0
463,1
445,1
150,0
106,1
3,1
180,0
116,0
273,1
35,0
211,1
193,0
446,1
425,1
466,1
209,0
208,0
316,1
387,1
238,0
313,1
280,1
364,1
39,0
235,0
24,1
28,0
172,0
165,0
465,1
372,1
86,0
138,0
90,0
61,0
432,1
392,1
481,1
370,1
456,1
267,1
421,1
414,1
58,0
265,1
325,1
423,1
489,1
460,1
80,0
326,1
384,1
40,1
483,1
146,0
99,0
101,0
300,1
45,0
418,1
162,0
242,0
91,1
50,0
